,make,model,engine_size,transmission,cylinders,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,emissions
1296,GMC,Acadia,2.5,A6,4.0,11.1,9.2,10.2,237.0
1297,GMC,Acadia,2.5,A9,4.0,11.3,8.9,10.2,238.0
1298,GMC,Acadia,3.6,A6,6.0,13.1,9.4,11.4,268.0
1299,GMC,Acadia,3.6,A9,6.0,12.6,8.8,10.9,257.0
1300,GMC,Acadia AWD,2.0,A9,4.0,11.3,8.7,10.1,232.0
1301,GMC,Acadia AWD,2.5,A6,4.0,11.3,9.4,10.5,248.0
1302,GMC,Acadia AWD,3.6,A6,6.0,13.5,9.5,11.7,275.0
1303,GMC,Acadia AWD,3.6,A9,6.0,13.1,9.4,11.4,269.0
1304,GMC,CANYON,2.5,A6,4.0,11.975,9.025,10.625,248.5
1305,GMC,CANYON,2.5,M6,4.0,12.124999999999998,9.149999999999999,10.8,251.5
1306,GMC,CANYON,2.8,A6,4.0,10.800000000000002,7.866666666666667,9.5,254.66666666666666
1307,GMC,CANYON,3.6,A6,6.0,13.0,9.2,11.3,262.5
1308,GMC,CANYON,3.6,A8,6.0,13.4,9.6,11.7,274.0
1309,GMC,CANYON 4WD,2.5,A6,4.0,12.674999999999999,9.625,11.3,263.5
1310,GMC,CANYON 4WD,2.8,A6,4.0,12.066666666666668,8.3,10.366666666666667,278.6666666666667
1311,GMC,CANYON 4WD,3.6,A6,6.0,13.55,9.850000000000001,11.850000000000001,275.0
1312,GMC,CANYON 4WD,3.6,A8,6.0,14.05,9.95,12.2,287.0
1313,GMC,Canyon,2.5,A6,4.0,12.1,9.2,10.8,252.5
1314,GMC,Canyon,2.5,M6,4.0,11.9,9.2,10.7,251.0
1315,GMC,Canyon,2.8,A6,4.0,11.8,7.9,10.1,270.0
1316,GMC,Canyon,3.6,A8,6.0,13.4,9.6,11.7,273.5
1317,GMC,Canyon 4WD,2.5,A6,4.0,12.649999999999999,9.75,11.350000000000001,266.0
1318,GMC,Canyon 4WD,2.8,A6,4.0,12.25,8.45,10.55,283.5
1319,GMC,Canyon 4WD,3.6,A8,6.0,14.0,9.9,12.2,286.0
1320,GMC,SAVANA 1500 CARGO,4.3,A4,6.0,17.1,12.7,15.1,347.0
1321,GMC,SAVANA 1500 CARGO,5.3,A4,8.0,20.75,15.55,18.4,350.0
1322,GMC,SAVANA 1500 CARGO AWD,5.3,A4,8.0,21.0,16.5,19.0,362.0
1323,GMC,SAVANA 1500 CARGO CONV,5.3,A4,8.0,21.25,16.2,19.0,362.0
1324,GMC,SAVANA 1500 CARGO CONV AWD,5.3,A4,8.0,21.8,16.75,19.55,371.0
1325,GMC,SAVANA 1500 PASSENGER,5.3,A4,8.0,21.25,16.2,19.0,362.0
1326,GMC,SAVANA 1500 PASSENGER AWD,5.3,A4,8.0,21.8,16.75,19.55,371.0
1327,GMC,SAVANA 2500 PASSENGER,4.8,A6,8.0,21.05,14.2,18.0,414.0
1328,GMC,SAVANA 2500 PASSENGER,6.0,A6,8.0,23.54,16.0,20.139999999999997,430.8
1329,GMC,SAVANA 2500 PASSENGER FFV,6.0,A6,8.0,26.15,17.7,22.35,423.0
1330,GMC,SAVANA 3500 PASSENGER,4.8,A6,8.0,21.3,14.3,18.15,417.5
1331,GMC,SAVANA 3500 PASSENGER,6.0,A6,8.0,23.96,16.3,20.5,439.0
1332,GMC,SAVANA 3500 PASSENGER FFV,6.0,A6,8.0,26.4,17.85,22.55,427.5
1333,GMC,SIERRA,4.3,A6,6.0,16.25,12.075,14.4,272.0
1334,GMC,SIERRA,5.3,A6,8.0,16.057142857142853,11.299999999999999,13.942857142857145,288.85714285714283
1335,GMC,SIERRA,5.3,A8,8.0,15.05,10.8,13.1,308.0
1336,GMC,SIERRA,6.2,A6,8.0,16.3,11.4,14.1,324.0
1337,GMC,SIERRA,6.2,A8,8.0,16.0,11.3,13.899999999999999,323.75
1338,GMC,SIERRA 4WD,4.3,A6,6.0,17.150000000000002,12.875,15.225,287.75
1339,GMC,SIERRA 4WD,5.3,A6,8.0,16.414285714285715,11.700000000000001,14.299999999999997,296.57142857142856
1340,GMC,SIERRA 4WD,5.3,A8,8.0,15.75,11.55,13.850000000000001,325.5
1341,GMC,SIERRA 4WD,6.2,A6,8.0,16.4,11.7,14.3,329.0
